title,id,release_date,vote_average,actors,director,composer,writer,producer
The Lord of the Rings: The Two Towers,121,2002-12-18,8.399,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson,Howard Shore,Philippa Boyens,Peter Jackson
Primal: Tales of Savagery,704264,2019-11-21,8.398,"['Aaron LaPlante', 'Jon Olson', 'Bryan Andrews']",Genndy Tartakovsky,Tyler Bates,,
The Empire Strikes Back,1891,1980-05-20,8.4,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",Irvin Kershner,John Williams,Lawrence Kasdan,Gary Kurtz
Gabriel's Inferno: Part II,724089,2020-07-31,8.387,"['Melanie Zanetti', 'Giulio Berruti', 'James Andrew Fraser']",Tosca Musk,,Mary Pocrnic,Michael Buttiglieri
Hope,255709,2013-10-02,8.383,"['Sul Kyung-gu', 'Uhm Ji-won', 'Lee Re']",Lee Joon-ik,Bang Jun-seok,,Byun Bong-hyun
Gabriel's Inferno: Part III,761053,2020-11-19,8.4,"['Melanie Zanetti', 'Giulio Berruti', 'Rhett Wellington Ramirez']",Tosca Musk,,Mary Pocrnic,Lino Ruggiero
A Silent Voice: The Movie,378064,2016-09-17,8.382,"['Miyu Irino', 'Saori Hayami', 'Aoi Yuki']",Naoko Yamada,Kensuke Ushio,Reiko Yoshida,Mikio Uetsuki
Dou kyu sei – Classmates,372754,2016-02-20,8.4,"['Kenji Nojima', 'Hiroshi Kamiya', 'Hideo Ishikawa']",Shoko Nakamura,Kotaro Oshio,,Shizuka Kurosaki
Whiplash,244786,2014-10-10,8.379,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser']",Damien Chazelle,Justin Hurwitz,,David Lancaster
The Pianist,423,2002-09-17,8.379,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",Roman Polanski,Wojciech Kilar,Ronald Harwood,Alain Sarde
The Wild Robot,1184918,2024-09-12,8.4,"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor']",Chris Sanders,Kris Bowers,Chris Sanders,Jeff Hermann
Se7en,807,1995-09-22,8.4,"['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow']",David Fincher,Howard Shore,,Arnold Kopelson
Radical,1058694,2023-10-19,8.4,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo']",Christopher Zalla,Pascual Reyes,Christopher Zalla,Joshua Davis
The Legend of Hei,620249,2019-08-27,8.4,"['Shan Xin', 'Liu Mingyue', 'Hao Xianghai']",MTJJ,,,Cong Fangbing
Inception,27205,2010-07-15,8.37,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe']",Christopher Nolan,Hans Zimmer,,Christopher Nolan
Spider-Man: Across the Spider-Verse,569094,2023-05-31,8.354,"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry']",Justin K. Thompson,Daniel Pemberton,,Christina Steinberg
Rear Window,567,1954-08-01,8.35,"['James Stewart', 'Grace Kelly', 'Wendell Corey']",Alfred Hitchcock,Franz Waxman,John Michael Hayes,Alfred Hitchcock
The Silence of the Lambs,274,1991-02-14,8.347,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']",Jonathan Demme,Howard Shore,Ted Tally,Edward Saxon
The Quintessential Quintuplets Movie,820067,2022-05-20,8.343,"['Yoshitsugu Matsuoka', 'Kana Hanazawa', 'Ayana Taketatsu']",Masato Jimbo,Hanae Nakamura,Keiichiro Ochi,Junichiro Tanaka
American History X,73,1998-07-01,8.341,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",Tony Kaye,Anne Dudley,David McKenna,John Morrissey
Princess Mononoke,128,1997-07-12,8.334,"['Youji Matsuda', 'Yuriko Ishida', 'Yuko Tanaka']",Hayao Miyazaki,Joe Hisaishi,,Toshio Suzuki
High and Low,12493,1963-03-01,8.3,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Kyōko Kagawa']",Akira Kurosawa,Masaru Satō,Eijirō Hisaita,Tomoyuki Tanaka
A Brighter Summer Day,15804,1991-07-27,8.3,"['Chang Chen', 'Lisa Yang', 'Chang Kuo-Chu']",Edward Yang,Zhang Hongda,,Yu Wei-Yen
Once Upon a Studio,1139087,2023-09-24,8.3,"['Chris Diamantopoulos', 'Kaitlyn Robrock', 'Tony Anselmo']",Trent Correy,Dave Metzger,,Yvett Merino Flores
Back to the Future,105,1985-07-03,8.318,"['Michael J. Fox', 'Christopher Lloyd', 'Crispin Glover']",Robert Zemeckis,Alan Silvestri,,Bob Gale
Dedicated to my ex,644479,2019-11-01,8.3,"['Raúl Santana', 'Nataly Valencia', 'Carlos Alcántara']",Jorge Ulloa,,Diego Ulloa,Natalia Echeverri
Perfect Blue,10494,1998-02-28,8.308,"['Junko Iwao', 'Rica Matsumoto', 'Shiho Niiyama']",Satoshi Kon,,Sadayuki Murai,Hiroaki Inoue
Dead Poets Society,207,1989-06-02,8.3,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']",Peter Weir,Maurice Jarre,,Steven Haft
Ikiru,3782,1952-10-09,8.306,"['Takashi Shimura', 'Haruo Tanaka', 'Nobuo Kaneko']",Akira Kurosawa,,Akira Kurosawa,Sōjirō Motoki
The Great Dictator,914,1940-10-15,8.3,"['Charlie Chaplin', 'Paulette Goddard', 'Jack Oakie']",Charlie Chaplin,Meredith Willson,,Charlie Chaplin
Léon: The Professional,101,1994-09-14,8.3,"['Jean Reno', 'Natalie Portman', 'Gary Oldman']",Luc Besson,Éric Serra,Luc Besson,Patrice Ledoux
Sunset Boulevard,599,1950-08-10,8.3,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",Billy Wilder,Franz Waxman,Charles Brackett,Charles Brackett
Hotarubi no Mori e,92321,2011-09-17,8.3,"['Izumi Sawada', 'Hayato Taya', 'Ayane Sakura']",Takahiro Omori,Makoto Yoshimori,Takahiro Omori,Tomomi Kyotani
Neon Genesis Evangelion: The End of Evangelion,18491,1997-07-19,8.3,"['Megumi Ogata', 'Megumi Hayashibara', 'Kotono Mitsuishi']",Kazuya Tsurumaki,Shiro Sagisu,Hideaki Anno,Mitsuhisa Ishikawa
Once Upon a Time in the West,335,1968-12-21,8.288,"['Claudia Cardinale', 'Henry Fonda', 'Jason Robards']",Sergio Leone,Ennio Morricone,Sergio Donati,Fulvio Morsella
Modern Times,3082,1936-02-05,8.3,"['Charlie Chaplin', 'Paulette Goddard', 'Henry Bergman']",Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin
Taylor Swift: Reputation Stadium Tour,568332,2018-12-31,8.281,"['Taylor Swift', 'Charli xcx', 'Camila Cabello']",Paul Dugdale,,,Simon Fisher
"Josee, the Tiger and the Fish",652837,2020-12-25,8.3,"['Taishi Nakagawa', 'Kaya Kiyohara', 'Yume Miyamoto']",Kotaro Tamura,Evan Call,Sayaka Kuwamura,Mari Suzuki
The Intouchables,77338,2011-11-02,8.275,"['François Cluzet', 'Omar Sy', 'Dominique Henry']",Éric Toledano,Ludovico Einaudi,Éric Toledano,Nicolas Duval Adassovsky
We All Loved Each Other So Much,42269,1974-12-21,8.275,"['Nino Manfredi', 'Vittorio Gassman', 'Stefania Sandrelli']",Ettore Scola,Armando Trovajoli,Furio Scarpelli,Adriano De Micheli
Apocalypse Now,28,1979-05-19,8.276,"['Martin Sheen', 'Frederic Forrest', 'Albert Hall']",Francis Ford Coppola,Carmine Coppola,,Francis Ford Coppola
It's a Wonderful Life,1585,1946-12-20,8.272,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']",Frank Capra,Dimitri Tiomkin,Frances Goodrich,Frank Capra
City Lights,901,1931-02-06,8.3,"['Charlie Chaplin', 'Virginia Cherrill', 'Florence Lee']",Charlie Chaplin,Charlie Chaplin,Harry Crocker,Charlie Chaplin
Given,632632,2020-08-22,8.3,"['Takuya Eguchi', 'Masatomo Nakazawa', 'Shogo Yano']",Hikaru Yamaguchi,MICHIRU,Yuniko Ayana,
Paths of Glory,975,1957-10-25,8.264,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']",Stanley Kubrick,Gerald Fried,Stanley Kubrick,Kirk Douglas
Miracle in Cell No. 7,637920,2019-10-10,8.3,"['Aras Bulut İynemli', 'Nisa Sofiya Aksongur', 'İlker Aksum']",Mehmet Ada Öztekin,Hasan Özsüt,Kubilay Tat,Saner Ayar
The Legend of 1900,10376,1998-10-28,8.3,"['Tim Roth', 'Pruitt Taylor Vince', 'Mélanie Thierry']",Giuseppe Tornatore,Ennio Morricone,Giuseppe Tornatore,Francesco Tornatore
Le Trou,29259,1960-03-18,8.3,"['Michel Constantin', 'Jean Keraudy', 'Philippe Leroy']",Jacques Becker,Philippe Arthuys,Jacques Becker,Serge Silberman
