title,id,release_date,vote_average,actors,director,composer,writer,producer
Frida,1360,2002-08-29,7.413,"['Salma Hayek Pinault', 'Alfred Molina', 'Mía Maestro']",Julie Taymor,Elliot Goldenthal,Clancy Sigal,Roberto Sneider
"Batman: The Long Halloween, Part Two",736074,2021-07-26,7.412,"['Jensen Ackles', 'Josh Duhamel', 'Naya Rivera']",Chris Palmer,Michael Gatt,,James Krieg
Sullivan's Travels,16305,1941-11-30,7.412,"['Joel McCrea', 'Veronica Lake', 'Robert Warwick']",Preston Sturges,,,
Being John Malkovich,492,1999-10-29,7.412,"['John Cusack', 'John Malkovich', 'Cameron Diaz']",Spike Jonze,Carter Burwell,,Sandy Stern
Creed,312221,2015-11-25,7.411,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson']",Ryan Coogler,Ludwig Göransson,Aaron Covington,Irwin Winkler
New World,165213,2013-02-21,7.4,"['Lee Jung-jae', 'Choi Min-sik', 'Hwang Jung-min']",Park Hoon-jung,Cho Young-wuk,Park Hoon-jung,Park Min-jeong
The Legend of Drunken Master,12207,1994-02-03,7.411,"['Jackie Chan', 'Ti Lung', 'Anita Mui Yim-Fong']",Lau Kar-Leung,,Edward Tang,Eric Tsang Chi-Wai
Last Year at Marienbad,4024,1961-05-25,7.4,"['Delphine Seyrig', 'Giorgio Albertazzi', 'Sacha Pitoëff']",Alain Resnais,Francis Seyrig,Alain Robbe-Grillet,Pierre Courau
Irma la Douce,2690,1963-06-05,7.4,"['Shirley MacLaine', 'Jack Lemmon', 'Lou Jacobi']",Billy Wilder,André Previn,Billy Wilder,I. A. L. Diamond
Y Tu Mamá También,1391,2001-06-08,7.4,"['Diego Luna', 'Gael García Bernal', 'Maribel Verdú']",Alfonso Cuarón,,Alfonso Cuarón,Alfonso Cuarón
Lost Illusions,660000,2021-10-20,7.4,"['Benjamin Voisin', 'Cécile de France', 'Vincent Lacoste']",Xavier Giannoli,,,Sidonie Dumas
Little Tickles,484747,2018-11-14,7.41,"['Andréa Bescond', 'Karin Viard', 'Clovis Cornillac']",Andréa Bescond,Clément Ducol,Andréa Bescond,François Kraus
Repulsion,11481,1965-06-01,7.4,"['Catherine Deneuve', 'Ian Hendry', 'John Fraser']",Roman Polanski,Chico Hamilton,Roman Polanski,Gene Gutowski
Ciao Alberto,876716,2021-11-11,7.409,"['Jack Dylan Grazer', 'Marco Barricelli', 'Jacob Tremblay']",McKenna Jean Harris,Dan Romer,,Matt DeMartini
The Raid,94329,2012-03-22,7.4,"['Iko Uwais', 'Joe Taslim', 'Donny Alamsyah']",Gareth Evans,Mike Shinoda,,Ario Sagantoro
An American Werewolf in London,814,1981-08-21,7.409,"['David Naughton', 'Jenny Agutter', 'Griffin Dunne']",John Landis,Elmer Bernstein,John Landis,George Folsey Jr.
Boys Don't Cry,226,1999-09-02,7.408,"['Hilary Swank', 'Chloë Sevigny', 'Peter Sarsgaard']",Kimberly Peirce,Nathan Larson,,John N. Hart
Rise,771077,2022-03-30,7.4,"['Marion Barbeau', 'Pio Marmaï', 'Denis Podalydès']",Cédric Klapisch,Thomas Bangalter,,Bruno Levy
Waves,533444,2019-11-15,7.407,"['Kelvin Harrison Jr.', 'Taylor Russell', 'Renée Elise Goldsberry']",Trey Edward Shults,Atticus Ross,Trey Edward Shults,Kevin Turen
Memoir of a Murderer,432836,2017-09-07,7.4,"['Sul Kyung-gu', 'Kim Nam-gil', 'Kim Seol-hyun']",Won Shin-yeon,Kim Jun-seong,Hwang Jo-yoon,Ku Tae-jin
Joyeux Noel,11661,2005-11-09,7.4,"['Diane Kruger', 'Benno Fürmann', 'Guillaume Canet']",Christian Carion,Philippe Rombi,Christian Carion,Christophe Rossignon
Romeo and Juliet,6003,1968-04-02,7.4,"['Leonard Whiting', 'Olivia Hussey', 'John McEnery']",Franco Zeffirelli,Nino Rota,Franco Brusati,Anthony Havelock-Allan
The Omen,794,1976-06-25,7.406,"['Gregory Peck', 'Lee Remick', 'David Warner']",Richard Donner,Jerry Goldsmith,David Seltzer,Harvey Bernhard
The Last Letter from Your Lover,638449,2021-07-23,7.4,"['Shailene Woodley', 'Felicity Jones', 'Callum Turner']",Augustine Frizzell,Daniel Hart,,Peter Czernin
Like Crazy,380225,2016-05-17,7.4,"['Valeria Bruni Tedeschi', 'Micaela Ramazzotti', 'Valentina Carnelutti']",Paolo Virzì,Carlo Virzì,Paolo Virzì,Marco Belardi
Then Came You,375785,2018-12-05,7.41,"['Maisie Williams', 'Asa Butterfield', 'Nina Dobrev']",Peter Hutchings,Spencer David Hutchings,,Brice Dal Farra
Sicario,273481,2015-09-17,7.406,"['Emily Blunt', 'Benicio del Toro', 'Josh Brolin']",Denis Villeneuve,Jóhann Jóhannsson,,Thad Luckinbill
Women on the Verge of a Nervous Breakdown,4203,1988-03-25,7.402,"['Carmen Maura', 'Antonio Banderas', 'Julieta Serrano']",Pedro Almodóvar,Bernardo Bonezzi,Pedro Almodóvar,Pedro Almodóvar
His Girl Friday,3085,1940-01-18,7.406,"['Cary Grant', 'Rosalind Russell', 'Ralph Bellamy']",Howard Hawks,,Charles Lederer,Howard Hawks
Spellbound,4174,1945-11-08,7.4,"['Ingrid Bergman', 'Gregory Peck', 'Leo G. Carroll']",Alfred Hitchcock,Miklós Rózsa,Ben Hecht,David O. Selznick
The Trial,3009,1962-12-21,7.4,"['Anthony Perkins', 'Jeanne Moreau', 'Romy Schneider']",Orson Welles,Jean Ledrut,Orson Welles,Alexander Salkind
When Harry Met Sally...,639,1989-07-21,7.4,"['Meg Ryan', 'Billy Crystal', 'Bruno Kirby']",Rob Reiner,Marc Shaiman,Nora Ephron,Nora Ephron
Justice League: War,217993,2014-01-21,7.404,"['Michelle Monaghan', 'Alan Tudyk', 'Sean Astin']",Jay Oliva,,,James Tucker
Life of Pi,87827,2012-11-20,7.404,"['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon']",Ang Lee,Mychael Danna,David Magee,Gil Netter
Barbie and the Diamond Castle,13004,2008-09-03,7.404,"['Kelly Sheridan', 'Melissa Lyons', 'Maryke Hendrikse']",Gino Nichele,Arnie Roth,,Jennifer Twiner McCarron
Rushmore,11545,1998-12-11,7.403,"['Jason Schwartzman', 'Bill Murray', 'Olivia Williams']",Wes Anderson,Mark Mothersbaugh,,Paul Schiff
La Vie en Rose,1407,2007-02-14,7.403,"['Marion Cotillard', 'Sylvie Testud', 'Pascal Greggory']",Olivier Dahan,Christopher Gunning,Isabelle Sobelman,Alain Goldman
The Experiment,575,2001-03-08,7.4,"['Moritz Bleibtreu', 'Christian Berkel', 'Justus von Dohnányi']",Oliver Hirschbiegel,Alexander Bubenheim,,Friedrich Wildfeuer
Greyhound,516486,2020-07-09,7.402,"['Tom Hanks', 'Stephen Graham', 'Rob Morgan']",Aaron Schneider,Blake Neely,Tom Hanks,Gary Goetzman
The Death of Superman,487670,2018-07-24,7.402,"[""Jerry O'Connell"", 'Rebecca Romijn', 'Rainn Wilson']",Jake Castorena,,,Sam Liu
The Peanut Butter Falcon,463257,2019-08-09,7.4,"['Shia LaBeouf', 'Zack Gottsagen', 'Dakota Johnson']",Tyler Nilson,Jonathan Sadoff,,Tim Zajaros
A Quiet Place,447332,2018-04-03,7.402,"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds']",John Krasinski,Marco Beltrami,Bryan Woods,Michael Bay
The Secret of Kells,26963,2009-02-09,7.4,"['Evan McGuire', 'Christen Mooney', 'Brendan Gleeson']",Nora Twomey,Bruno Coulais,Fabrice Ziolkowski,Didier Brunner
Cabaret,10784,1972-02-13,7.4,"['Liza Minnelli', 'Michael York', 'Helmut Griem']",Bob Fosse,John Kander,Jay Presson Allen,Cy Feuer
Futurama: Bender's Big Score,7249,2007-11-27,7.402,"['Billy West', 'Katey Sagal', 'John DiMaggio']",Dwayne Carey-Hill,Christopher Tyng,,Claudia Katz
Braindead,763,1992-08-13,7.402,"['Timothy Balme', 'Diana Peñalver', 'Elizabeth Moody']",Peter Jackson,Peter Dasent,Fran Walsh,Jim Booth
Neon Genesis Evangelion: Death and Rebirth,21832,1997-03-15,7.401,"['Megumi Ogata', 'Megumi Hayashibara', 'Yuko Miyamura']",Hideaki Anno,Shiro Sagisu,Mitsuo Iso,Mitsuhisa Ishikawa
American Psycho,1359,2000-04-13,7.4,"['Christian Bale', 'Justin Theroux', 'Josh Lucas']",Mary Harron,John Cale,Mary Harron,Christian Halsey Solomon
Johnny Guitar,26596,1954-05-26,7.4,"['Joan Crawford', 'Sterling Hayden', 'Mercedes McCambridge']",Nicholas Ray,Victor Young,Philip Yordan,Nicholas Ray
The Long Goodbye,1847,1973-03-08,7.4,"['Elliott Gould', 'Nina van Pallandt', 'Sterling Hayden']",Robert Altman,John Williams,Leigh Brackett,Jerry Bick
The Mad Adventures of Rabbi Jacob,760,1973-10-17,7.4,"['Louis de Funès', 'Suzy Delair', 'Marcel Dalio']",Gérard Oury,Vladimir Cosma,Josy Eisenberg,Bertrand Javal
Monster Pets: A Hotel Transylvania Short,813258,2021-04-02,7.4,"['Brian Hull', 'Jennifer Kluska', 'Derek Drymon']",Jennifer Kluska,,,Genndy Tartakovsky
Clerks,2292,1994-10-19,7.399,"[""Brian O'Halloran"", 'Jeff Anderson', 'Marilyn Ghigliotti']",Kevin Smith,,,Kevin Smith
Miss You Already,290762,2015-09-12,7.398,"['Drew Barrymore', 'Toni Collette', 'Dominic Cooper']",Catherine Hardwicke,Harry Gregson-Williams,,Christopher Simon
Tarzan,37135,1999-06-18,7.398,"['Tony Goldwyn', 'Minnie Driver', 'Glenn Close']",Chris Buck,Mark Mancina,Tab Murphy,Bonnie Arnold
Red Desert,26638,1964-09-04,7.4,"['Monica Vitti', 'Richard Harris', 'Carlo Chionetti']",Michelangelo Antonioni,Giovanni Fusco,Michelangelo Antonioni,Tonino Cervi
The Basketball Diaries,10474,1995-04-21,7.4,"['Leonardo DiCaprio', 'Mark Wahlberg', 'Lorraine Bracco']",Scott Kalvert,Graeme Revell,Bryan Goluboff,John Bard Manulis
Inside Man,388,2006-03-17,7.397,"['Denzel Washington', 'Clive Owen', 'Jodie Foster']",Spike Lee,Terence Blanchard,,Brian Grazer
Selma,273895,2014-12-25,7.396,"['David Oyelowo', 'Carmen Ejogo', 'Tom Wilkinson']",Ava DuVernay,Jason Moran,,Dede Gardner
Justice League: Doom,76589,2012-02-28,7.4,"['Kevin Conroy', 'Tim Daly', 'Susan Eisenberg']",Lauren Montgomery,Christopher Drake,Mark Waid,Lauren Montgomery
Ghost in the Shell 2.0,14092,2008-07-12,7.4,"['Atsuko Tanaka', 'Akio Otsuka', 'Koichi Yamadera']",Mamoru Oshii,Kenji Kawai,Kazunori Ito,
The Mission,11416,1986-09-24,7.4,"['Robert De Niro', 'Jeremy Irons', 'Ray McAnally']",Roland Joffé,Ennio Morricone,Robert Bolt,David Puttnam
Happy as Lazzaro,481432,2018-05-31,7.395,"['Adriano Tardiolo', 'Agnese Graziani', 'Luke Chikovani']",Alice Rohrwacher,,,Carlo Cresto-Dina
I Am a Hero,276624,2016-04-23,7.4,"['Yo Oizumi', 'Kasumi Arimura', 'Masami Nagasawa']",Shinsuke Sato,Nima Fakhrara,Akiko Nogi,KIDO Shiro
Taken,8681,2008-02-18,7.4,"['Liam Neeson', 'Maggie Grace', 'Famke Janssen']",Pierre Morel,Nathaniel Méchaly,,Pierre-Ange Le Pogam
Waiting for Bojangles,851303,2021-10-13,7.4,"['Virginie Efira', 'Romain Duris', 'Grégory Gadebois']",Régis Roinsard,,,Jean-Pierre Guérin
The Purple Rose of Cairo,10849,1985-03-01,7.4,"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello']",Woody Allen,Dick Hyman,Woody Allen,Robert Greenhut
Mad Max 2,8810,1981-12-24,7.394,"['Mel Gibson', 'Bruce Spence', 'Michael Preston']",George Miller,Brian May,Terry Hayes,Byron Kennedy
The Devil Wears Prada,350,2006-06-29,7.394,"['Meryl Streep', 'Anne Hathaway', 'Emily Blunt']",David Frankel,Theodore Shapiro,Aline Brosh McKenna,Wendy Finerman
PAW Patrol: The Movie,675445,2021-08-09,7.4,"['Tyler Perry', 'Ron Pardo', 'Will Brisbin']",Cal Brunker,Heitor Pereira,Billy Frolick,Adam Beder
Zulu,14433,1964-01-22,7.392,"['Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson']",Cy Endfield,John Barry,,Cy Endfield
As Good as It Gets,2898,1997-12-19,7.392,"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear']",James L. Brooks,Hans Zimmer,Mark Andrus,Kristi Zea
Leviathan,265180,2014-09-24,7.391,"['Aleksey Serebryakov', 'Elena Lyadova', 'Vladimir Vdovichenkov']",Andrey Zvyagintsev,,,Sergey Melkumov
Drunken Master,11230,1978-10-05,7.39,"['Jackie Chan', 'Yuen Siu-Tien', 'Hwang Jang-Lee']",Yuen Wo-Ping,,Siao Lung,Ng See-Yuen
The Muppet Christmas Carol,10437,1992-12-10,7.4,"['Michael Caine', 'Dave Goelz', 'Steve Whitmire']",Brian Henson,Miles Goodman,Jerry Juhl,Brian Henson
Pierrot le Fou,2786,1965-11-05,7.39,"['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani']",Jean-Luc Godard,Antoine Duhamel,Rémo Forlani,Georges de Beauregard
Injustice,831405,2021-10-09,7.389,"['Justin Hartley', 'Anson Mount', 'Laura Bailey']",Matt Peters,,,Rick Morales
Summer of 85,659959,2020-07-14,7.389,"['Félix Lefebvre', 'Benjamin Voisin', 'Philippine Velge']",François Ozon,Jean-Benoît Dunckel,François Ozon,Nicolas Altmayer
Falling Down,37094,1993-02-26,7.389,"['Michael Douglas', 'Robert Duvall', 'Barbara Hershey']",Joel Schumacher,James Newton Howard,,Timothy Harris
The Lion in Winter,18988,1968-10-30,7.389,"[""Peter O'Toole"", 'Katharine Hepburn', 'Anthony Hopkins']",Anthony Harvey,John Barry,James Goldman,Martin Poll
Rudolph the Red-Nosed Reindeer,13382,1964-12-06,7.4,"['Burl Ives', 'Billie Mae Richards', 'Larry D. Mann']",Larry Roemer,,,Jules Bass
My Girl,4032,1991-11-27,7.4,"['Macaulay Culkin', 'Anna Chlumsky', 'Dan Aykroyd']",Howard Zieff,James Newton Howard,Laurice Elehwany,Brian Grazer
Palm Trees in the Snow,274109,2015-12-25,7.388,"['Mario Casas', 'Adriana Ugarte', 'Macarena García']",Fernando González Molina,Lucas Vidal,Sergio G. Sánchez,Mercedes Gamero
Shine,7863,1996-08-15,7.388,"['Armin Mueller-Stahl', 'Noah Taylor', 'Geoffrey Rush']",Scott Hicks,David Hirschfelder,Jan Sardi,Jane Scott
Grease,621,1978-07-07,7.388,"['Olivia Newton-John', 'John Travolta', 'Stockard Channing']",Randal Kleiser,Jim Jacobs,Bronte Woodard,Allan Carr
Lost in Translation,153,2003-09-18,7.388,"['Bill Murray', 'Scarlett Johansson', 'Akiko Takeshita']",Sofia Coppola,Kevin Shields,,Ross Katz
Kidnapped,801112,2023-05-25,7.4,"['Enea Sala', 'Leonardo Maltese', 'Paolo Pierobon']",Marco Bellocchio,Fabio Massimo Capogrosso,Marco Bellocchio,Paolo Del Brocco
The Fighter,45317,2010-12-10,7.4,"['Mark Wahlberg', 'Christian Bale', 'Amy Adams']",David O. Russell,Michael Brook,Paul Tamasy,David Hoberman
Law Abiding Citizen,22803,2009-10-15,7.388,"['Jamie Foxx', 'Gerard Butler', 'Colm Meaney']",F. Gary Gray,Brian Tyler,,Gerard Butler
Once,5723,2007-03-23,7.386,"['Glen Hansard', 'Markéta Irglová', 'Hugh Walsh']",John Carney,Glen Hansard,John Carney,Martina Niland
Z-O-M-B-I-E-S 3,809107,2022-07-09,7.4,"['Milo Manheim', 'Meg Donnelly', 'Chandler Kinney']",Paul Hoen,George S. Clinton,David Light,Mary Pantelidis
"Maggie Simpson in ""Playdate with Destiny""",673595,2020-02-29,7.4,['Chris Edgerly'],David Silverman,,,James L. Brooks
I Can Quit Whenever I Want 3: Ad Honorem,439584,2017-11-30,7.4,"['Edoardo Leo', 'Valerio Aprea', 'Paolo Calabresi']",Sydney Sibilia,Michele Braga,Luigi Di Capua,Domenico Procacci
Mudbound,414425,2017-11-16,7.386,"['Carey Mulligan', 'Jason Clarke', 'Jason Mitchell']",Dee Rees,Tamar-kali,Dee Rees,Carl Effenson
Frances Ha,121986,2013-05-17,7.4,"['Greta Gerwig', 'Mickey Sumner', 'Michael Zegen']",Noah Baumbach,,,Scott Rudin
Boy,39356,2010-03-25,7.386,"['James Rolleston', 'Te Aho Aho Eketone-Whitu', 'Taika Waititi']",Taika Waititi,Lukasz Pawel Buda,,Cliff Curtis
Black Hawk Down,855,2001-12-28,7.386,"['Josh Hartnett', 'Eric Bana', 'Ewan McGregor']",Ridley Scott,Hans Zimmer,Ken Nolan,Jerry Bruckheimer
Pain and Glory,519010,2019-03-22,7.4,"['Antonio Banderas', 'Asier Etxeandia', 'Leonardo Sbaraglia']",Pedro Almodóvar,Alberto Iglesias,Pedro Almodóvar,Esther García
The One and Only Ivan,508570,2020-08-21,7.385,"['Bryan Cranston', 'Sam Rockwell', 'Brooklynn Prince']",Thea Sharrock,Craig Armstrong,Mike White,Brigham Taylor
On the Basis of Sex,339380,2018-12-25,7.387,"['Felicity Jones', 'Armie Hammer', 'Justin Theroux']",Mimi Leder,Mychael Danna,Daniel Stiepleman,Robert W. Cort
Stuck in Love,111969,2013-06-14,7.4,"['Greg Kinnear', 'Jennifer Connelly', 'Lily Collins']",Josh Boone,Mike Mogis,,Judy Cairo
Through My Window,818647,2022-02-04,7.384,"['Clara Galle', 'Julio Peña', 'Guillermo Lasheras']",Marçal Forés,,Eduard Sola,Núria Valls
Babylon,615777,2022-12-22,7.383,"['Brad Pitt', 'Margot Robbie', 'Diego Calva']",Damien Chazelle,Justin Hurwitz,,Olivia Hamilton
Naruto Shippuden the Movie,20982,2007-08-04,7.384,"['Junko Takeuchi', 'Chie Nakamura', 'Yōichi Masukawa']",Hajime Kamegaki,,,Kazuteru Oshikiri
Asterix & Obelix: Mission Cleopatra,2899,2002-01-30,7.4,"['Christian Clavier', 'Gérard Depardieu', 'Jamel Debbouze']",Alain Chabat,Philippe Chany,Alain Chabat,Claude Berri
Interstate 60,20312,2002-04-13,7.383,"['James Marsden', 'Gary Oldman', 'Amy Smart']",Bob Gale,Christophe Beck,,Peter Bray
Legends of the Fall,4476,1994-12-23,7.4,"['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn']",Edward Zwick,James Horner,Susan Shilliday,Marshall Herskovitz
Ghostland,476299,2018-03-14,7.382,"['Crystal Reed', 'Mylène Farmer', 'Anastasia Phillips']",Pascal Laugier,,Pascal Laugier,Ian Dimerman
Mr. Church,374461,2016-09-16,7.382,"['Eddie Murphy', 'Britt Robertson', 'Natascha McElhone']",Bruce Beresford,Mark Isham,,Courtney Solomon
Only Yesterday,15080,1991-07-20,7.4,"['Miki Imai', 'Toshiro Yanagiba', 'Yoko Honna']",Isao Takahata,Katsu Hoshi,Isao Takahata,Yasuyoshi Tokuma
The Last of the Mohicans,9361,1992-08-26,7.4,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Jodhi May']",Michael Mann,Trevor Jones,Michael Mann,Hunt Lowry
Through the Fire,484751,2018-11-28,7.381,"['Pierre Niney', 'Anaïs Demoustier', 'Vincent Rottiers']",Frédéric Tellier,Frédéric Tellier,,Julien Madon
The Hunt for Red October,1669,1990-03-02,7.4,"['Sean Connery', 'Alec Baldwin', 'Scott Glenn']",John McTiernan,Basil Poledouris,Larry Ferguson,Mace Neufeld
The Piano,713,1993-05-18,7.381,"['Holly Hunter', 'Harvey Keitel', 'Sam Neill']",Jane Campion,Michael Nyman,Jane Campion,Jan Chapman
Mon Oncle,427,1958-05-10,7.4,"['Jacques Tati', 'Jean-Pierre Zola', 'Adrienne Servantie']",Jacques Tati,Norbert Glanzberg,Jean L'Hôte,Fred Orain
Black Panther,284054,2018-02-13,7.38,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]",Ryan Coogler,Ludwig Göransson,,Kevin Feige
Beetlejuice,4011,1988-03-30,7.38,"['Alec Baldwin', 'Geena Davis', 'Winona Ryder']",Tim Burton,Danny Elfman,Warren Skaaren,Michael Bender
Office Space,1542,1999-02-19,7.38,"['Ron Livingston', 'Jennifer Aniston', 'David Herman']",Mike Judge,John Frizzell,Mike Judge,Daniel Rappaport
Interview with the Vampire,628,1994-11-11,7.38,"['Tom Cruise', 'Brad Pitt', 'Antonio Banderas']",Neil Jordan,Elliot Goldenthal,Anne Rice,David Geffen
Burning,491584,2018-05-17,7.379,"['Yoo Ah-in', 'Steven Yeun', 'Jun Jong-seo']",Lee Chang-dong,Mowg,Lee Chang-dong,Ok Gwang-hee
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",44012,1976-01-21,7.4,"['Delphine Seyrig', 'Jan Decorte', 'Henri Storck']",Chantal Akerman,,,Guy Cavagnac
A Time to Kill,1645,1996-07-24,7.4,"['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson']",Joel Schumacher,Elliot Goldenthal,Akiva Goldsman,Michael G. Nathanson
The Triplets of Belleville,9662,2003-06-11,7.378,"['Suzy Falk', 'Lina Boudreau', 'Betty Bonifassi']",Sylvain Chomet,Benoît Charest,Sylvain Chomet,Didier Brunner
The Umbrellas of Cherbourg,5967,1964-02-19,7.4,"['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon']",Jacques Demy,Michel Legrand,Jacques Demy,Mag Bodard
The Best of Enemies,458131,2019-04-05,7.4,"['Taraji P. Henson', 'Sam Rockwell', 'Babou Ceesay']",Robin Bissell,,,Matt Berenson
Moonlight,376867,2016-10-21,7.377,"['Trevante Rhodes', 'André Holland', 'Janelle Monáe']",Barry Jenkins,Nicholas Britell,Barry Jenkins,Adele Romanski
My Sister's Keeper,10024,2009-06-26,7.377,"['Cameron Diaz', 'Abigail Breslin', 'Sofia Vassilieva']",Nick Cassavetes,Aaron Zigman,Jeremy Leven,Scott Goldman
South Park: Post COVID: The Return of COVID,874300,2021-12-16,7.376,"['Trey Parker', 'Matt Stone', 'April Stewart']",Trey Parker,Jamie Dunlap,,Vernon Chatman
Wicked,402431,2024-11-20,7.37,"['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum']",Jon M. Chu,Stephen Schwartz,Winnie Holzman,Marc Platt
Love & Basketball,14736,2000-04-21,7.376,"['Sanaa Lathan', 'Omar Epps', 'Chris Warren']",Gina Prince-Bythewood,Terence Blanchard,,Spike Lee
Once Were Warriors,527,1994-09-02,7.4,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell']",Lee Tamahori,Murray McNabb,Riwia Brown,Robin Scholes
The In Between,818750,2022-02-11,7.377,"['Joey King', 'Kyle Allen', 'Kim Dickens']",Arie Posin,,,Joey King
The Girl with the Dragon Tattoo,65754,2011-12-14,7.4,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer']",David Fincher,Atticus Ross,,Ceán Chaffin
Submarine,49020,2011-03-18,7.4,"['Noah Taylor', 'Paddy Considine', 'Craig Roberts']",Richard Ayoade,Andrew Hewitt,,Mark Herbert
Sissi,457,1955-12-22,7.4,"['Romy Schneider', 'Karlheinz Böhm', 'Magda Schneider']",Ernst Marischka,Anton Profes,,Karl Ehrlich
Dragon Ball: The Path to Power,39148,1996-03-04,7.4,"['Masako Nozawa', 'Hiromi Tsuru', 'Toru Furuya']",Shigeyasu Yamauchi,Akihito Tokunaga,,
Caro diario,25403,1993-10-12,7.374,"['Nanni Moretti', 'Renato Carpentieri', 'Antonio Neiwiller']",Nanni Moretti,Nicola Piovani,,Nanni Moretti
Tucker and Dale vs. Evil,46838,2010-01-22,7.373,"['Tyler Labine', 'Alan Tudyk', 'Katrina Bowden']",Eli Craig,Mike Shields,,Morgan Jurgenson
The Sucker,25866,1965-03-24,7.4,"['Bourvil', 'Louis de Funès', 'Venantino Venantini']",Gérard Oury,Georges Delerue,Marcel Jullian,Robert Dorfmann
Operation Red Sea,460555,2018-02-16,7.4,"['Zhang Yi', 'Johnny Huang', 'Hai Qing']",Dante Lam Chiu-Yin,Elliot Leung,Chen Zhuzhu,Candy Leung Fung-Ying
If I Stay,249164,2014-08-21,7.372,"['Chloë Grace Moretz', 'Jamie Blackley', 'Liana Liberato']",R. J. Cutler,Heitor Pereira,Shauna Cross,Alison Greenspan
The Man in the Moon,17474,1991-09-30,7.4,"['Sam Waterston', 'Tess Harper', 'Gail Strickland']",Robert Mulligan,James Newton Howard,,Mark Rydell
The Woman in the Window,17136,1944-10-25,7.4,"['Edward G. Robinson', 'Joan Bennett', 'Raymond Massey']",Fritz Lang,Arthur Lange,Nunnally Johnson,Nunnally Johnson
Twin Peaks: Fire Walk with Me,1923,1992-06-03,7.4,"['Sheryl Lee', 'Ray Wise', 'Mädchen Amick']",David Lynch,Angelo Badalamenti,,Francis Bouygues
The Remains of the Day,1245,1993-11-05,7.4,"['Anthony Hopkins', 'Emma Thompson', 'James Fox']",James Ivory,Richard Robbins,Ruth Prawer Jhabvala,Mike Nichols
Ghostbusters: Afterlife,425909,2021-11-18,7.371,"['Mckenna Grace', 'Finn Wolfhard', 'Carrie Coon']",Jason Reitman,Rob Simonsen,,Patrice Avery
No Time to Die,370172,2021-09-29,7.371,"['Daniel Craig', 'Léa Seydoux', 'Rami Malek']",Cary Joji Fukunaga,Hans Zimmer,Cary Joji Fukunaga,Barbara Broccoli
The Social Network,37799,2010-10-01,7.371,"['Jesse Eisenberg', 'Andrew Garfield', 'Armie Hammer']",David Fincher,Trent Reznor,Aaron Sorkin,Scott Rudin
Serenity,16320,2005-09-25,7.371,"['Nathan Fillion', 'Summer Glau', 'Gina Torres']",Joss Whedon,David Newman,,Barry Mendel
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,876792,2022-11-25,7.4,"['Miho Okasaki', 'Makoto Furukawa', 'Megumi Toyoguchi']",Yasuhito Kikuchi,Hitoshi Fujima,Kazuyuki Fudeyasu,Yoshiyuki Shiotani
American Me,13199,1992-03-13,7.37,"['Edward James Olmos', 'William Forsythe', 'Pepe Serna']",Edward James Olmos,Claude Gaudette,Desmond Nakano,Robert M. Young
The Way of the Dragon,9462,1972-12-30,7.4,"['Bruce Lee', 'Nora Miao', 'Chuck Norris']",Bruce Lee,Joseph Koo,Bruce Lee,Raymond Chow
Bad Education,140,2004-03-19,7.37,"['Gael García Bernal', 'Fele Martínez', 'Daniel Giménez Cacho']",Pedro Almodóvar,Alberto Iglesias,Pedro Almodóvar,Agustín Almodóvar
A Dog's Way Home,508763,2019-01-10,7.369,"['Ashley Judd', 'Jonah Hauer-King', 'Edward James Olmos']",Charles Martin Smith,Mychael Danna,Cathryn Michon,W. Bruce Cameron
I Can Quit Whenever I Want 2: Masterclass,406385,2017-02-02,7.369,"['Edoardo Leo', 'Valerio Aprea', 'Stefano Fresi']",Sydney Sibilia,Michele Braga,Sydney Sibilia,Domenico Procacci
A Royal Affair,88273,2012-03-29,7.368,"['Mads Mikkelsen', 'Alicia Vikander', 'Mikkel Boe Følsgaard']",Nikolaj Arcel,Cyrille Aufort,Rasmus Heisterberg,Louise Vesth
Blow Out,11644,1981-07-24,7.4,"['John Travolta', 'Nancy Allen', 'John Lithgow']",Brian De Palma,Pino Donaggio,,George Litto
Nowhere,1151534,2023-09-29,7.368,"['Anna Castillo', 'Tamar Novas', 'Irina Bravo']",Albert Pintó,,Ernest Riera,Miguel Ruz
The Collini Case,570661,2019-04-18,7.363,"[""Elyas M'Barek"", 'Heiner Lauterbach', 'Alexandra Maria Lara']",Marco Kreuzpaintner,Ben Lukas Boysen,Robert Gold,Christoph Müller
