title,id,release_date,vote_average
The Usual Suspects,629,1995-07-19,8.177
Hamilton,556574,2020-07-03,8.178
Investigation of a Citizen Above Suspicion,26451,1970-10-16,8.172
Tokyo Story,18148,1953-11-03,8.172
The Kid,10098,1921-01-21,8.2
Persona,797,1966-10-18,8.2
Green Snake,795607,2021-07-23,8.2
My Hero Academia: Heroes Rising,592350,2019-12-20,8.165
Scarface,111,1983-12-09,8.164
The Departed,1422,2006-10-04,8.2
Vertigo,426,1958-05-28,8.162
Good Will Hunting,489,1997-12-05,8.16
20th Century Girl,851644,2022-10-06,8.162
Alien,348,1979-05-25,8.159
Jujutsu Kaisen 0,810693,2021-12-24,8.2
Casablanca,289,1943-01-15,8.157
Capernaum,517814,2018-09-20,8.154
Dune: Part Two,693134,2024-02-27,8.151
Innocent Voices,20941,2005-01-28,8.151
Togo,606856,2019-12-20,8.148
Piper,399106,2016-06-16,8.149
Singin' in the Rain,872,1952-04-09,8.148
Steven Universe: The Movie,537061,2019-10-07,8.147
The Truman Show,37165,1998-06-04,8.146
Joker,475557,2019-10-01,8.143
Silenced,81481,2011-09-22,8.1
My Friends,20914,1975-10-24,8.138
Taxi Driver,103,1976-02-09,8.1
Scenes from a Marriage,133919,1974-09-15,8.1
Stalker,1398,1979-05-25,8.137
8½,422,1963-02-14,8.1
There's Still Tomorrow,1026227,2023-10-26,8.1
Bound by Honor,9702,1993-02-05,8.1
The Shop Around the Corner,20334,1940-01-12,8.1
Zack Snyder's Justice League,791373,2021-03-18,8.133
Wild Strawberries,614,1957-08-28,8.1
Wonder,406997,2017-11-13,8.128
Full Metal Jacket,600,1987-06-26,8.127
Call Me by Your Name,398818,2017-07-28,8.1
Palmer,458220,2021-01-28,8.123
Central Station,666,1998-04-03,8.1
The Father,600354,2020-12-23,8.1
Reservoir Dogs,500,1992-09-02,8.12
Soul,508442,2020-12-25,8.119
The Great War,55823,1959-10-28,8.118
The Count of Monte Cristo,1084736,2024-06-28,8.115
The Hate U Give,470044,2018-10-19,8.117
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,1964-01-29,8.1
Terminator 2: Judgment Day,280,1991-07-03,8.117
"Lock, Stock and Two Smoking Barrels",100,1998-08-28,8.117
Portrait of a Lady on Fire,531428,2019-09-18,8.1
Double Indemnity,996,1944-07-06,8.1
Better Days,575813,2019-10-25,8.113
Metropolis,19,1927-02-06,8.113
Transformers One,698687,2024-09-11,8.113
In the Mood for Love,843,2000-09-29,8.1
