title,id,release_date,vote_average
The Dirt,327331,2019-03-22,7.46
The Artist,74643,2011-10-12,7.458
In Cold Blood,18900,1967-12-15,7.458
Thesis,9299,1996-04-11,7.458
Paddington 2,346648,2017-11-09,7.457
One Piece Film: Strong World,41498,2009-12-12,7.5
Ip Man 2,37472,2010-04-29,7.456
That Man from Rio,4034,1964-02-05,7.457
The Rocky Horror Picture Show,36685,1975-08-14,7.456
A Pure Formality,19223,1994-05-15,7.5
The Adventures of Robin Hood,10907,1938-05-13,7.456
Open Your Eyes,1902,1997-12-19,7.5
Head-On,363,2004-03-11,7.456
The Banshees of Inisherin,674324,2022-10-20,7.455
Black Sunday,27632,1960-08-11,7.5
The Thin Red Line,8741,1998-12-23,7.455
Justice League: Crisis on Infinite Earths Part One,1155089,2024-01-08,7.5
Swept Away,37916,1974-12-18,7.5
Ordinary People,16619,1980-09-19,7.5
Lifted,13060,2006-12-28,7.5
The Man Who Knew Too Much,574,1956-05-16,7.453
Star Trek II: The Wrath of Khan,154,1982-06-04,7.5
All of Us Strangers,994108,2023-12-22,7.5
About Elly,37181,2009-06-06,7.453
The Innocents,16372,1961-12-15,7.5
Miller's Crossing,379,1990-09-21,7.453
Dunkirk,374720,2017-07-19,7.452
Happiness,10683,1998-10-11,7.452
The Wolf and the Lion,780382,2021-10-13,7.45
All That Jazz,16858,1979-12-16,7.45
The Insider,9008,1999-10-28,7.451
Bram Stoker's Dracula,6114,1992-11-13,7.45
Dirty Harry,984,1971-12-23,7.45
The Day the Earth Stood Still,828,1951-09-28,7.5
Apollo 13,568,1995-06-30,7.45
Crush,860159,2022-04-29,7.449
Baby Driver,339403,2017-06-28,7.449
Cold War,440298,2018-06-08,7.4
Patients,434616,2017-03-01,7.4
Summer Wars,28874,2009-08-01,7.4
District 9,17654,2009-08-05,7.448
A Christmas Carol,13189,1984-10-09,7.4
"Batman: The Long Halloween, Part One",736073,2021-06-21,7.447
Bullet Train,718930,2022-08-03,7.446
Bāhubali 2: The Conclusion,350312,2017-04-27,7.4
Mulan: Rise of a Warrior,32909,2009-11-26,7.446
The Lovers on the Bridge,2767,1991-10-16,7.4
Ocean's Eleven,161,2001-12-07,7.4
John Wick: Chapter 3 - Parabellum,458156,2019-05-15,7.4
Lone Survivor,193756,2013-12-24,7.445
Memories,42994,1995-12-23,7.4
Kuch Kuch Hota Hai,11854,1998-10-16,7.4
Ray,1677,2004-10-29,7.445
Mixed by Erry,921785,2023-03-02,7.444
Missing,768362,2023-01-19,7.442
Captain America: Civil War,271110,2016-04-27,7.4
Scarface,877,1932-04-09,7.4
Home Alone,771,1990-11-16,7.444
Fabrizio De André: Principe libero,499631,2018-01-23,7.4
Killers of the Flower Moon,466420,2023-10-18,7.4
The Last: Naruto the Movie,317442,2014-12-06,7.4
My Darling Clementine,3088,1946-10-17,7.4
Leto,502897,2018-06-07,7.4
The Swimmers,821881,2022-11-24,7.44
Miracles from Heaven,339984,2016-03-17,7.4
Cell 211,33273,2009-11-06,7.4
Extraction 2,697843,2023-06-09,7.439
John Wick,245891,2014-10-22,7.4
The Unforgivable,645886,2021-11-24,7.439
Nebraska,129670,2013-09-21,7.439
Alice,18917,1988-08-03,7.4
Kal Ho Naa Ho,4254,2003-11-27,7.4
Once Upon a Time... in Hollywood,466272,2019-07-24,7.438
"McFarland, USA",228203,2015-02-20,7.438
The Secret of NIMH,11704,1982-06-17,7.438
Peeping Tom,11167,1960-05-16,7.4
Star Wars: Episode III - Revenge of the Sith,1895,2005-05-17,7.438
The Last Duel,617653,2021-10-13,7.437
Breathe,407445,2017-10-13,7.437
Wind River,395834,2017-08-03,7.437
Chaplin,10435,1992-12-17,7.4
That Obscure Object of Desire,5781,1977-08-17,7.4
Lemonade Mouth,65218,2011-04-15,7.4
The Verdict,24226,1982-12-08,7.4
The Gospel According to Matthew,24192,1965-03-03,7.4
Marty,15919,1955-04-11,7.4
The Right Stuff,9549,1983-10-20,7.4
The Lady Vanishes,940,1938-10-07,7.436
18 Presents,630220,2020-01-02,7.4
The Guernsey Literary & Potato Peel Pie Society,451480,2018-04-19,7.436
A Night at the Opera,37719,1935-11-15,7.435
In Safe Hands,489418,2018-12-05,7.434
Unbroken,227306,2014-12-25,7.433
3096 Days,166666,2013-02-21,7.434
Tekkonkinkreet,13754,2006-10-21,7.434
Cape Fear,11349,1962-04-12,7.434
The Magdalene Sisters,8094,2002-08-30,7.4
Sisu,840326,2022-09-09,7.434
Promising Young Woman,582014,2020-12-13,7.433
They Call Me Jeeg,364433,2016-02-25,7.433
Predestination,206487,2014-08-28,7.433
Miss Sloane,376290,2016-11-25,7.432
Secretariat,39486,2010-08-20,7.432
The Return,11190,2003-06-25,7.432
Erin Brockovich,462,2000-03-17,7.433
Mission: Impossible - Fallout,353081,2018-07-13,7.431
I Want You,109689,2012-06-22,7.431
Sorcerer,38985,1977-06-24,7.4
A Better Tomorrow,11471,1986-08-02,7.4
"Crouching Tiger, Hidden Dragon",146,2000-07-06,7.431
The Motorcycle Diaries,1653,2004-02-06,7.43
Delusions of Grandeur,14257,1971-12-08,7.4
Star Trek,13475,2009-05-06,7.43
"Watch Out, We're Mad",6916,1974-03-29,7.4
About Fate,828613,2022-09-08,7.427
The Hunger Games: Catching Fire,101299,2013-11-15,7.4
Trinity Is Still My Name,11829,1971-10-21,7.428
The Life of David Gale,11615,2003-02-21,7.4
Zelig,11030,1983-07-15,7.4
The Great Silence,9028,1968-11-22,7.4
The Bourne Ultimatum,2503,2007-08-03,7.428
The Farewell,565310,2019-07-12,7.427
I Can Quit Whenever I Want,250219,2014-02-06,7.427
Love Don't Co$t a Thing,21542,2003-12-12,7.425
Crimes and Misdemeanors,11562,1989-10-13,7.4
Duel,839,1971-11-13,7.4
Contact,686,1997-07-11,7.427
Justice Society: World War II,736069,2021-04-27,7.426
Only the Brave,395991,2017-09-22,7.426
Sweet Bean,319373,2015-05-30,7.4
Richard Jewell,292011,2019-12-13,7.427
Stargirl,382748,2020-03-10,7.43
American Sniper,190859,2014-12-25,7.426
EverAfter,9454,1998-07-31,7.425
Sense and Sensibility,4584,1995-12-13,7.4
Un Chien Andalou,626,1929-06-05,7.425
The Mauritanian,644583,2021-02-12,7.423
The Conjuring: The Devil Made Me Do It,423108,2021-05-25,7.424
Nocturnal Animals,340666,2016-11-04,7.4
One Day,51828,2011-03-02,7.4
Peaceful Warrior,13689,2006-03-30,7.4
Hour of the Wolf,18333,1968-02-19,7.4
Mufasa: The Lion King,762509,2024-12-18,7.447
Big Fish & Begonia,271706,2016-07-08,7.4
Scrooge,13188,1951-11-28,7.4
This Is Spinal Tap,11031,1984-03-02,7.422
Malena,10867,2000-03-16,7.4
Drive My Car,758866,2021-08-18,7.4
The Man Without a Past,7294,2002-03-01,7.4
The Godfather Part III,242,1990-12-25,7.4
Doctor Strange,284052,2016-10-25,7.421
Scooby-Doo! in Where's My Mummy?,20558,2005-05-13,7.42
The Secret Garden,11236,1993-08-13,7.42
The Idea of You,843527,2024-05-02,7.4
Spider-Man: Far From Home,429617,2019-06-28,7.419
The Lego Movie,137106,2014-02-06,7.419
Glory Road,9918,2006-01-13,7.419
Scream,4232,1996-12-20,7.4
The Last King of Scotland,1523,2006-01-12,7.4
Saw,176,2004-10-01,7.419
Hedwig and the Angry Inch,13403,2001-07-20,7.4
The Hurricane,10400,1999-09-17,7.4
August Rush,5123,2007-11-21,7.418
Migration,940551,2023-12-06,7.417
The Outlaw Josey Wales,10747,1976-06-30,7.4
Enemy at the Gates,853,2001-02-28,7.417
El Angel,507505,2018-08-09,7.416
The Florida Project,394117,2017-10-06,7.416
The Stronghold,637534,2021-08-18,7.4
Enter the Dragon,9461,1973-08-17,7.414
Jin-Roh: The Wolf Brigade,823,1999-11-17,7.414
You're Not You,290542,2014-10-10,7.413
The Fly,9426,1986-08-15,7.4
Frida,1360,2002-08-29,7.413
"Batman: The Long Halloween, Part Two",736074,2021-07-26,7.412
Sullivan's Travels,16305,1941-11-30,7.412
Being John Malkovich,492,1999-10-29,7.412
Creed,312221,2015-11-25,7.411
New World,165213,2013-02-21,7.4
The Legend of Drunken Master,12207,1994-02-03,7.411
Last Year at Marienbad,4024,1961-05-25,7.4
Irma la Douce,2690,1963-06-05,7.4
Y Tu Mamá También,1391,2001-06-08,7.4
Lost Illusions,660000,2021-10-20,7.4
Little Tickles,484747,2018-11-14,7.41
Repulsion,11481,1965-06-01,7.4
Ciao Alberto,876716,2021-11-11,7.409
The Raid,94329,2012-03-22,7.4
An American Werewolf in London,814,1981-08-21,7.409
Boys Don't Cry,226,1999-09-02,7.408
Rise,771077,2022-03-30,7.4
Waves,533444,2019-11-15,7.407
Memoir of a Murderer,432836,2017-09-07,7.4
Joyeux Noel,11661,2005-11-09,7.4
Romeo and Juliet,6003,1968-04-02,7.4
The Omen,794,1976-06-25,7.406
The Last Letter from Your Lover,638449,2021-07-23,7.4
Like Crazy,380225,2016-05-17,7.4
Then Came You,375785,2018-12-05,7.41
Sicario,273481,2015-09-17,7.406
Women on the Verge of a Nervous Breakdown,4203,1988-03-25,7.402
His Girl Friday,3085,1940-01-18,7.406
Spellbound,4174,1945-11-08,7.4
The Trial,3009,1962-12-21,7.4
When Harry Met Sally...,639,1989-07-21,7.4
Justice League: War,217993,2014-01-21,7.404
Life of Pi,87827,2012-11-20,7.404
Barbie and the Diamond Castle,13004,2008-09-03,7.404
Rushmore,11545,1998-12-11,7.403
La Vie en Rose,1407,2007-02-14,7.403
The Experiment,575,2001-03-08,7.4
Greyhound,516486,2020-07-09,7.402
The Death of Superman,487670,2018-07-24,7.402
The Peanut Butter Falcon,463257,2019-08-09,7.4
A Quiet Place,447332,2018-04-03,7.402
The Secret of Kells,26963,2009-02-09,7.4
Cabaret,10784,1972-02-13,7.4
Futurama: Bender's Big Score,7249,2007-11-27,7.402
Braindead,763,1992-08-13,7.402
Neon Genesis Evangelion: Death and Rebirth,21832,1997-03-15,7.401
American Psycho,1359,2000-04-13,7.4
Johnny Guitar,26596,1954-05-26,7.4
The Long Goodbye,1847,1973-03-08,7.4
The Mad Adventures of Rabbi Jacob,760,1973-10-17,7.4
Monster Pets: A Hotel Transylvania Short,813258,2021-04-02,7.4
Clerks,2292,1994-10-19,7.399
Miss You Already,290762,2015-09-12,7.398
Tarzan,37135,1999-06-18,7.398
Red Desert,26638,1964-09-04,7.4
The Basketball Diaries,10474,1995-04-21,7.4
Inside Man,388,2006-03-17,7.397
Selma,273895,2014-12-25,7.396
Justice League: Doom,76589,2012-02-28,7.4
Ghost in the Shell 2.0,14092,2008-07-12,7.4
The Mission,11416,1986-09-24,7.4
Happy as Lazzaro,481432,2018-05-31,7.395
I Am a Hero,276624,2016-04-23,7.4
Taken,8681,2008-02-18,7.4
Waiting for Bojangles,851303,2021-10-13,7.4
The Purple Rose of Cairo,10849,1985-03-01,7.4
Mad Max 2,8810,1981-12-24,7.394
The Devil Wears Prada,350,2006-06-29,7.394
PAW Patrol: The Movie,675445,2021-08-09,7.4
Zulu,14433,1964-01-22,7.392
As Good as It Gets,2898,1997-12-19,7.392
Leviathan,265180,2014-09-24,7.391
Drunken Master,11230,1978-10-05,7.39
The Muppet Christmas Carol,10437,1992-12-10,7.4
Pierrot le Fou,2786,1965-11-05,7.39
Injustice,831405,2021-10-09,7.389
Summer of 85,659959,2020-07-14,7.389
Falling Down,37094,1993-02-26,7.389
The Lion in Winter,18988,1968-10-30,7.389
Rudolph the Red-Nosed Reindeer,13382,1964-12-06,7.4
My Girl,4032,1991-11-27,7.4
Palm Trees in the Snow,274109,2015-12-25,7.388
Shine,7863,1996-08-15,7.388
Grease,621,1978-07-07,7.388
Lost in Translation,153,2003-09-18,7.388
Kidnapped,801112,2023-05-25,7.4
The Fighter,45317,2010-12-10,7.4
Law Abiding Citizen,22803,2009-10-15,7.388
Once,5723,2007-03-23,7.386
Z-O-M-B-I-E-S 3,809107,2022-07-09,7.4
"Maggie Simpson in ""Playdate with Destiny""",673595,2020-02-29,7.4
I Can Quit Whenever I Want 3: Ad Honorem,439584,2017-11-30,7.4
Mudbound,414425,2017-11-16,7.386
Frances Ha,121986,2013-05-17,7.4
Boy,39356,2010-03-25,7.386
Black Hawk Down,855,2001-12-28,7.386
Pain and Glory,519010,2019-03-22,7.4
The One and Only Ivan,508570,2020-08-21,7.385
On the Basis of Sex,339380,2018-12-25,7.387
Stuck in Love,111969,2013-06-14,7.4
Through My Window,818647,2022-02-04,7.384
Babylon,615777,2022-12-22,7.383
Naruto Shippuden the Movie,20982,2007-08-04,7.384
Asterix & Obelix: Mission Cleopatra,2899,2002-01-30,7.4
Interstate 60,20312,2002-04-13,7.383
Legends of the Fall,4476,1994-12-23,7.4
Ghostland,476299,2018-03-14,7.382
Mr. Church,374461,2016-09-16,7.382
Only Yesterday,15080,1991-07-20,7.4
The Last of the Mohicans,9361,1992-08-26,7.4
Through the Fire,484751,2018-11-28,7.381
The Hunt for Red October,1669,1990-03-02,7.4
The Piano,713,1993-05-18,7.381
Mon Oncle,427,1958-05-10,7.4
Black Panther,284054,2018-02-13,7.38
Beetlejuice,4011,1988-03-30,7.38
Office Space,1542,1999-02-19,7.38
Interview with the Vampire,628,1994-11-11,7.38
Burning,491584,2018-05-17,7.379
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",44012,1976-01-21,7.4
A Time to Kill,1645,1996-07-24,7.4
The Triplets of Belleville,9662,2003-06-11,7.378
The Umbrellas of Cherbourg,5967,1964-02-19,7.4
The Best of Enemies,458131,2019-04-05,7.4
Moonlight,376867,2016-10-21,7.377
My Sister's Keeper,10024,2009-06-26,7.377
South Park: Post COVID: The Return of COVID,874300,2021-12-16,7.376
Wicked,402431,2024-11-20,7.37
Love & Basketball,14736,2000-04-21,7.376
Once Were Warriors,527,1994-09-02,7.4
The In Between,818750,2022-02-11,7.377
The Girl with the Dragon Tattoo,65754,2011-12-14,7.4
Submarine,49020,2011-03-18,7.4
Sissi,457,1955-12-22,7.4
Dragon Ball: The Path to Power,39148,1996-03-04,7.4
Caro diario,25403,1993-10-12,7.374
Tucker and Dale vs. Evil,46838,2010-01-22,7.373
The Sucker,25866,1965-03-24,7.4
Operation Red Sea,460555,2018-02-16,7.4
If I Stay,249164,2014-08-21,7.372
The Man in the Moon,17474,1991-09-30,7.4
The Woman in the Window,17136,1944-10-25,7.4
Twin Peaks: Fire Walk with Me,1923,1992-06-03,7.4
The Remains of the Day,1245,1993-11-05,7.4
Ghostbusters: Afterlife,425909,2021-11-18,7.371
No Time to Die,370172,2021-09-29,7.371
The Social Network,37799,2010-10-01,7.371
Serenity,16320,2005-09-25,7.371
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,876792,2022-11-25,7.4
American Me,13199,1992-03-13,7.37
The Way of the Dragon,9462,1972-12-30,7.4
Bad Education,140,2004-03-19,7.37
A Dog's Way Home,508763,2019-01-10,7.369
I Can Quit Whenever I Want 2: Masterclass,406385,2017-02-02,7.369
A Royal Affair,88273,2012-03-29,7.368
Blow Out,11644,1981-07-24,7.4
Nowhere,1151534,2023-09-29,7.368
The Collini Case,570661,2019-04-18,7.363
Teen Titans: The Judas Contract,408647,2017-03-31,7.4
Pelé: Birth of a Legend,245913,2016-05-06,7.4
Those Happy Days,19100,2006-06-28,7.367
The Wind That Shakes the Barley,1116,2006-06-23,7.4
Fruitvale Station,157354,2013-07-26,7.366
A Letter to Momo,100271,2012-04-21,7.4
The Great Gatsby,64682,2013-05-09,7.366
Once in a Lifetime,303483,2014-12-03,7.4
Blow,4133,2001-04-04,7.365
Pirates of the Caribbean: Dead Man's Chest,58,2006-07-06,7.365
La Belle Époque,595975,2019-11-06,7.364
First They Killed My Father,433247,2017-02-18,7.4
Rise of the Guardians,81188,2012-11-21,7.364
Frantz,377263,2016-09-07,7.363
Southpaw,307081,2015-03-24,7.363
Lifeboat,13321,1944-01-28,7.4
Jerry & Marge Go Large,843847,2022-10-20,7.4
Turning Red,508947,2022-03-10,7.362
Okja,387426,2017-06-28,7.361
The Impossible,80278,2012-09-09,7.4
An Affair to Remember,8356,1957-07-11,7.4
Ice Age,425,2002-03-10,7.361
Bubble,912598,2022-02-14,7.36
Adaptation.,2757,2002-12-06,7.357
Fantasia,756,1940-11-13,7.4
Blood and Bone,22164,2009-02-07,7.359
Perfume: The Story of a Murderer,1427,2006-09-13,7.4
Match Point,116,2005-10-26,7.4
Enola Holmes 2,829280,2022-11-30,7.361
Miracle on 34th Street,11881,1947-06-04,7.365
Belle de Jour,649,1967-05-24,7.4
A Hero,672208,2021-12-15,7.357
Jungle Cruise,451048,2021-07-28,7.357
Scooby-Doo! and the Witch's Ghost,17681,1999-10-05,7.4
True Grit,17529,1969-06-11,7.4
Close Encounters of the Third Kind,840,1977-12-14,7.357
Jackie Brown,184,1997-12-25,7.4
Unlocked,740441,2023-02-17,7.356
2 Hearts,710356,2020-10-16,7.354
Tini: The New Life of Violetta,360365,2016-05-04,7.356
The Hobbit: An Unexpected Journey,49051,2012-12-12,7.4
The Counterfeiters,7862,2007-03-22,7.354
Shane,3110,1953-04-23,7.4
Eastern Promises,2252,2007-09-14,7.4
The Big Short,318846,2015-12-11,7.355
The Red Violin,14283,1998-09-10,7.355
Resident Evil: Death Island,1083862,2023-06-22,7.354
Ride On,931102,2023-04-07,7.35
The Boss Baby: Family Business,459151,2021-07-01,7.4
Descendants 2,417320,2017-07-21,7.354
Darkest Hour,399404,2017-11-22,7.353
Road to Perdition,4147,2002-07-12,7.354
Scooby-Doo! WrestleMania Mystery,258893,2014-03-11,7.353
The Wicker Man,16307,1973-12-06,7.4
The Sea Beast,560057,2022-06-24,7.352
The Wailing,293670,2016-05-12,7.352
Philomena,205220,2013-11-01,7.352
Jacob's Ladder,2291,1990-11-02,7.352
My Father's Glory,12716,1990-08-29,7.4
The Abyss,2756,1989-08-09,7.4
Minority Report,180,2002-06-20,7.351
The Yellow Sea,57361,2010-12-22,7.351
Just Another Christmas,755339,2020-12-03,7.3
"Dearest Relatives, Poisonous Relations",24182,1992-03-26,7.348
Santa Claus Is a Stinker,14645,1982-08-25,7.349
Wait Until Dark,11206,1967-10-26,7.3
Blow-Up,1052,1966-12-18,7.349
Road to Ninja: Naruto the Movie,118406,2012-07-28,7.3
End of Watch,77016,2012-09-20,7.348
The Little Mermaid,10144,1989-11-17,7.3
Cherry,544401,2021-02-26,7.347
Dungeons & Dragons: Honor Among Thieves,493529,2023-03-23,7.347
Blindspotting,489930,2018-07-20,7.3
Remember,302528,2015-10-23,7.3
Saving Mr. Banks,140823,2013-11-29,7.347
The Lady from Shanghai,3766,1947-12-24,7.3
Meet Joe Black,297,1998-11-12,7.347
Chemical Hearts,621013,2020-08-21,7.343
Rudy,14534,1993-09-17,7.346
Kelly's Heroes,11589,1970-06-22,7.3
Glengarry Glen Ross,9504,1992-09-10,7.346
Down by Law,1554,1986-09-20,7.346
Goldfinger,658,1964-09-20,7.3
Split,381288,2017-01-19,7.345
High Plains Drifter,11901,1973-04-19,7.345
The Zookeeper's Wife,289222,2017-03-24,7.344
Eraserhead,985,1977-09-28,7.344
A Hard Day's Night,704,1964-07-07,7.3
The Terminal,594,2004-06-17,7.3
The African Queen,488,1952-01-07,7.3
The 39 Steps,260,1935-06-06,7.344
The Beekeeper,866398,2024-01-08,7.343
Papillon,433498,2017-09-07,7.343
Horse Fever,38528,1976-10-29,7.343
Possession,21484,1981-05-27,7.343
Sophie's Choice,15764,1982-12-08,7.3
Wreck-It Ralph,82690,2012-11-01,7.342
"Bianco, rosso e Verdone",37775,1981-02-20,7.3
Black Box,663260,2021-09-08,7.3
Patema Inverted,212167,2013-11-09,7.3
Suicide Room,72478,2011-03-04,7.341
The Killers,14638,1946-08-30,7.3
Johnny Stecchino,12776,1991-10-24,7.341
Pay It Forward,10647,2000-10-20,7.341
El Dorado,6644,1966-12-17,7.346
A Nightmare on Elm Street,377,1984-10-31,7.341
Sorry We Missed You,522369,2019-10-04,7.34
G.O.R.A.,27275,2004-11-12,7.3
"What's Up, Doc?",6949,1972-03-09,7.3
Air,964980,2023-04-05,7.339
The Big Sick,416477,2017-03-30,7.339
Scooby-Doo! and the Reluctant Werewolf,37211,1988-11-13,7.339
The Blue Angel,228,1930-04-01,7.3
Superman II: The Richard Donner Cut,624479,2006-11-02,7.3
20th Century Women,342737,2016-12-28,7.337
The Physician,169881,2013-12-25,7.338
Now You See Me,75656,2013-05-29,7.338
French Fried Vacation 2,33701,1979-11-22,7.338
Watchmen,13183,2009-03-04,7.338
Operation Condor,10975,1991-02-07,7.3
Europa,9065,1991-06-27,7.3
Red River,3089,1948-08-26,7.3
American Fiction,1056360,2023-11-10,7.3
The Enigma of Kaspar Hauser,11710,1974-11-01,7.337
Oscar,2798,1967-10-11,7.337
The Station Agent,2056,2003-12-05,7.337
The Hating Game,603661,2021-12-09,7.336
The Butler,132363,2013-08-16,7.3
CJ7,13688,2008-01-30,7.336
Mutiny on the Bounty,12311,1935-11-22,7.3
Decision to Leave,705996,2022-06-29,7.3
Belladonna of Sadness,64847,1973-06-30,7.3
A Dog's Life,36208,1918-04-14,7.3
Undisputed II: Last Man Standing,15255,2006-04-11,7.335
A Very Long Engagement,2841,2004-10-27,7.3
The Time Machine,2134,1960-05-25,7.3
Red Dog,66125,2011-08-04,7.3
Cyrano de Bergerac,11673,1990-03-28,7.334
John Wick: Chapter 2,324552,2017-02-08,7.333
Spider-Man: Homecoming,315635,2017-07-05,7.333
Enter the Void,34647,2009-06-17,7.334
Blood and Black Lace,28055,1964-04-10,7.34
RoboCop,5548,1987-07-17,7.334
Gentlemen Prefer Blondes,759,1953-07-14,7.3
Uncle Frank,634544,2020-11-25,7.332
Minari,615643,2021-02-12,7.3
The Lunchbox,191714,2013-09-20,7.332
Chocolate,15003,2008-02-06,7.3
"The Cook, the Thief, His Wife & Her Lover",7452,1989-10-13,7.3
Dirty Dancing,88,1987-08-21,7.331
A Boy Called Christmas,615666,2021-11-24,7.336
Palm Springs,587792,2020-07-10,7.33
Lucky,407449,2017-09-29,7.3
Rise of the Planet of the Apes,61791,2011-08-03,7.33
A Woman Is a Woman,31522,1961-09-06,7.329
The Kite Runner,7979,2007-12-14,7.3
The Equalizer 3,926393,2023-08-30,7.328
The Last Full Measure,442065,2020-01-23,7.3
Status Update,416494,2018-02-09,7.3
Dawn of the Planet of the Apes,119450,2014-07-08,7.329
Les Misérables,82695,2012-12-18,7.329
Hamlet,10549,1996-12-25,7.329
Lolita,802,1962-06-13,7.3
21 Grams,470,2003-09-06,7.329
"To Wong Foo, Thanks for Everything! Julie Newmar",9090,1995-09-07,7.3
A Man for All Seasons,874,1966-12-13,7.328
Loveless,429174,2017-06-01,7.3
Don't Torture a Duckling,49361,1972-09-29,7.3
Mesrine: Killer Instinct,13635,2008-10-22,7.3
Christiane F.,9589,1981-04-02,7.3
Dark City,2666,1998-02-27,7.328
The Magnificent Ambersons,965,1942-07-10,7.327
Rocketman,504608,2019-05-17,7.326
All That Heaven Allows,43316,1955-12-25,7.3
Monty Python's The Meaning of Life,4543,1983-03-31,7.326
Lord of War,1830,2005-09-16,7.327
Tinker Bell and the Legend of the NeverBeast,297270,2014-12-12,7.3
The Mafia Kills Only in Summer,239877,2013-11-28,7.325
Star Trek Into Darkness,54138,2013-05-05,7.326
Kirikou and the Sorceress,21348,1998-12-09,7.3
"O Brother, Where Art Thou?",134,2000-08-30,7.3
God's Crooked Lines,890980,2022-10-06,7.3
The Hobbit: The Battle of the Five Armies,122917,2014-12-10,7.324
The Bourne Supremacy,2502,2004-07-23,7.324
25th Hour,1429,2002-12-19,7.3
Judas and the Black Messiah,583406,2021-02-12,7.323
Battle for Sevastopol,332270,2015-04-02,7.322
The Judge,205587,2014-10-08,7.322
Naruto Shippuden the Movie: The Will of Fire,36728,2009-08-01,7.323
The Hangover,18785,2009-06-02,7.323
Slumberland,668461,2022-11-18,7.324
Crossroads,15392,1986-03-14,7.3
Ghost in the Shell 2: Innocence,12140,2004-03-06,7.3
Gangs of New York,3131,2002-12-14,7.322
Head Full of Honey,269258,2014-12-25,7.3
Now Is Good,90369,2012-09-19,7.321
Days of Being Wild,18311,1990-12-15,7.3
A Matter of Loaf and Death,14447,2008-12-25,7.322
Stalingrad,11101,1993-01-20,7.3
The Twelve Tasks of Asterix,9385,1976-06-26,7.3
Nosferatu the Vampyre,6404,1979-01-17,7.325
Finding Neverland,866,2004-10-17,7.321
Extraction,545609,2020-04-23,7.32
Ghost Dog: The Way of the Samurai,4816,1999-10-06,7.32
Fantastic Beasts and Where to Find Them,259316,2016-11-16,7.319
The Secret: Dare to Dream,550231,2020-04-16,7.3
The Good Lie,250538,2014-09-10,7.318
Carrie,7340,1976-11-03,7.318
What's in a Name,112198,2012-04-25,7.318
His Secret Life,23550,2001-03-16,7.3
Batman Beyond: Return of the Joker,16234,2000-12-12,7.317
Phantom Thread,400617,2017-12-25,7.316
Speak No Evil,1114513,2024-09-11,7.311
Harriet,506528,2019-11-01,7.308
The Guilty,486947,2018-02-22,7.31
GANTZ:O,396263,2016-10-14,7.31
Kiss and Cry,440596,2017-02-10,7.309
The Hidden Face,80184,2011-09-16,7.3
Tomboy,65229,2011-04-20,7.3
The Guns of Navarone,10911,1961-04-27,7.3
Martyrs,9539,2008-06-12,7.308
Becoming Jane,2977,2007-03-02,7.308
La Chimera,837335,2023-10-12,7.306
Hello World,604605,2019-09-20,7.3
The Names of Love,50848,2010-11-24,7.307
An American Crime,13008,2007-07-27,7.307
Stolen Kisses,255,1968-09-04,7.3
Love and Monsters,590223,2020-10-16,7.306
Daisies,46919,1966-12-30,7.3
True Grit,44264,2010-12-22,7.306
Total Recall,861,1990-06-01,7.307
Christopher Robin,420814,2018-08-01,7.305
Twice Born,121642,2012-09-13,7.305
Source Code,45612,2011-03-30,7.3
Mesrine: Public Enemy #1,15362,2008-11-19,7.305
Scooby-Doo! and the Loch Ness Monster,12902,2004-05-20,7.305
Delicatessen,892,1991-04-17,7.307
War Horse,57212,2011-12-25,7.305
Gone Baby Gone,4771,2007-09-18,7.304
Last Night in Soho,576845,2021-10-21,7.304
Vivo,449406,2021-07-30,7.302
Maleficent: Mistress of Evil,420809,2019-10-16,7.304
Deliverance,10669,1972-08-18,7.303
"Good Morning, Vietnam",801,1987-12-23,7.303
Spider-Man,557,2002-05-01,7.303
Tunnel,390497,2016-08-10,7.302
Hell or High Water,338766,2016-08-11,7.3
Woman in Gold,304357,2015-03-20,7.302
5 Centimeters per Second,38142,2007-03-03,7.3
Dead Man,922,1995-12-23,7.3
X-Men: First Class,49538,2011-06-01,7.301
Balto,21032,1995-12-22,7.3
Scooby-Doo! and the Cyber Chase,15601,2001-10-09,7.301
Red Cliff II,15384,2009-01-07,7.3
Jack-Jack Attack,13932,2005-03-15,7.3
Mystery Train,11305,1989-09-06,7.301
They Live,8337,1988-11-04,7.3
Robin Hood,11886,1973-11-08,7.3
Justice League: Crisis on Two Earths,30061,2010-02-23,7.3
Moxie,583689,2021-03-03,7.299
Snake in the Eagle's Shadow,11537,1978-03-01,7.3
Dog,626735,2022-02-17,7.297
Indiana Jones and the Temple of Doom,87,1984-05-23,7.297
The Fundamentals of Caring,318121,2016-06-16,7.296
Beautiful Thing,10938,1996-06-21,7.296
Shadows in Paradise,3,1986-10-17,7.3
The Hundred-Foot Journey,228194,2014-08-06,7.3
The Illusionist,1491,2006-08-18,7.3
Airplane!,813,1980-07-02,7.295
Suburra,356296,2015-10-14,7.294
13 Assassins,58857,2010-09-09,7.3
Kung Fu Panda,9502,2008-06-04,7.294
Mia and the White Lion,498248,2018-08-02,7.293
Weekend,79120,2011-10-23,7.293
Duck Soup,3063,1933-11-12,7.287
The Conjuring 2,259693,2016-06-08,7.3
